qid,query,docno,docid,score,rank
156493,do goldfish grow,2928707,2928707,0.9099549,0
156493,do goldfish grow,1960257,1960257,0.90518725,1
156493,do goldfish grow,3288597,3288597,0.89839983,2
156493,do goldfish grow,8182162,8182162,0.8975194,3
156493,do goldfish grow,2612493,2612493,0.89537627,4
156493,do goldfish grow,3288601,3288601,0.8927845,5
156493,do goldfish grow,3288595,3288595,0.8918208,6
156493,do goldfish grow,3288599,3288599,0.890929,7
156493,do goldfish grow,6775071,6775071,0.8907133,8
156493,do goldfish grow,2612491,2612491,0.8902894,9
156493,do goldfish grow,8182159,8182159,0.8901831,10
156493,do goldfish grow,6139386,6139386,0.88984656,11
156493,do goldfish grow,1960260,1960260,0.88941157,12
156493,do goldfish grow,1277727,1277727,0.8863933,13
156493,do goldfish grow,1960261,1960261,0.8862488,14
156493,do goldfish grow,3288600,3288600,0.8859414,15
156493,do goldfish grow,1960255,1960255,0.88593215,16
156493,do goldfish grow,2717163,2717163,0.8841035,17
156493,do goldfish grow,8182160,8182160,0.8828974,18
156493,do goldfish grow,2612492,2612492,0.8826523,19
156493,do goldfish grow,8182161,8182161,0.88108754,20
156493,do goldfish grow,95515,95515,0.8809718,21
156493,do goldfish grow,2123395,2123395,0.8791833,22
156493,do goldfish grow,1277723,1277723,0.8791162,23
156493,do goldfish grow,8820526,8820526,0.8789844,24
156493,do goldfish grow,1960259,1960259,0.8788036,25
156493,do goldfish grow,4542584,4542584,0.87691414,26
156493,do goldfish grow,8182165,8182165,0.8759081,27
156493,do goldfish grow,7371077,7371077,0.8758706,28
156493,do goldfish grow,3288596,3288596,0.8752563,29
156493,do goldfish grow,994486,994486,0.8751893,30
156493,do goldfish grow,3288598,3288598,0.8741021,31
156493,do goldfish grow,2259183,2259183,0.8732095,32
156493,do goldfish grow,349638,349638,0.87257606,33
156493,do goldfish grow,8273019,8273019,0.872576,34
156493,do goldfish grow,3603922,3603922,0.87238437,35
156493,do goldfish grow,1277725,1277725,0.8717936,36
156493,do goldfish grow,95521,95521,0.87170875,37
156493,do goldfish grow,8273018,8273018,0.8714758,38
156493,do goldfish grow,2259179,2259179,0.8710881,39
156493,do goldfish grow,2612490,2612490,0.8707834,40
156493,do goldfish grow,7371079,7371079,0.8707058,41
156493,do goldfish grow,2598786,2598786,0.8704099,42
156493,do goldfish grow,2598787,2598787,0.8702167,43
156493,do goldfish grow,8182166,8182166,0.8701987,44
156493,do goldfish grow,349643,349643,0.8698313,45
156493,do goldfish grow,8820527,8820527,0.86926746,46
156493,do goldfish grow,8273011,8273011,0.8688793,47
156493,do goldfish grow,1277726,1277726,0.8684964,48
156493,do goldfish grow,2612486,2612486,0.86834615,49
156493,do goldfish grow,1277722,1277722,0.8683443,50
156493,do goldfish grow,95518,95518,0.8676561,51
156493,do goldfish grow,316872,316872,0.8673978,52
156493,do goldfish grow,95512,95512,0.86688507,53
156493,do goldfish grow,8273017,8273017,0.86684597,54
156493,do goldfish grow,8725859,8725859,0.8667244,55
156493,do goldfish grow,6524746,6524746,0.8664975,56
156493,do goldfish grow,2928702,2928702,0.8662373,57
156493,do goldfish grow,2708309,2708309,0.86548054,58
156493,do goldfish grow,2259182,2259182,0.8651988,59
156493,do goldfish grow,3603920,3603920,0.86460495,60
156493,do goldfish grow,8029433,8029433,0.8645408,61
156493,do goldfish grow,1277720,1277720,0.8643719,62
156493,do goldfish grow,2259184,2259184,0.86434877,63
156493,do goldfish grow,3288603,3288603,0.86421484,64
156493,do goldfish grow,6139382,6139382,0.86414313,65
